Age,Experience,Income,CCAvg,Mortgage,Securities,CD,Online,CreditCard,Loan
25,1,49,1.6,0,1,0,0,0,0
45,19,34,1.5,0,1,0,0,0,0
39,15,11,1.0,0,0,0,0,0,0
35,9,100,2.7,0,0,0,0,0,0
35,8,45,1.0,0,0,0,0,1,0
37,13,29,0.4,155,0,0,1,0,0
53,27,72,1.5,0,0,0,1,0,0
50,24,22,0.3,0,0,0,0,1,0
35,10,81,0.6,104,0,0,1,0,0
34,9,180,8.9,0,0,0,0,0,1
65,39,105,2.4,0,0,0,0,0,0
29,5,45,0.1,0,0,0,1,0,0
48,23,114,3.8,0,1,0,0,0,0
59,32,40,2.5,0,0,0,1,0,0
67,41,112,2.0,0,1,0,0,0,0
60,30,22,1.5,0,0,0,1,1,0
38,14,130,4.7,134,0,0,0,0,1
42,18,81,2.4,0,0,0,0,0,0
46,21,193,8.1,0,0,0,0,0,1
55,28,21,0.5,0,1,0,0,1,0
56,31,25,0.9,111,0,0,1,0,0
57,27,63,2.0,0,0,0,1,0,0
29,5,62,1.2,260,0,0,1,0,0
44,18,43,0.7,163,1,0,0,0,0
36,11,152,3.9,159,0,0,0,1,0
43,19,29,0.5,97,0,0,1,0,0
40,16,83,0.2,0,0,0,0,0,0
46,20,158,2.4,0,0,0,1,1,0
56,30,48,2.2,0,0,0,1,1,0
38,13,119,3.3,0,0,1,1,1,1
59,35,35,1.2,122,0,0,1,0,0
40,16,29,2.0,0,0,0,1,0,0
53,28,41,0.6,193,0,0,0,0,0
30,6,18,0.9,0,0,0,0,0,0
31,5,50,1.8,0,0,0,1,0,0
48,24,81,0.7,0,0,0,0,0,0
59,35,121,2.9,0,0,0,0,1,0
51,25,71,1.4,198,0,0,0,0,0
42,18,141,5.0,0,1,1,1,0,1
38,13,80,0.7,285,0,0,1,0,0
57,32,84,1.6,0,1,0,0,0,0
34,9,60,2.3,0,0,0,0,0,0
32,7,132,1.1,412,0,0,1,0,1
39,15,45,0.7,0,0,0,1,0,0
46,20,104,5.7,0,0,0,1,1,0
57,31,52,2.5,0,0,0,0,1,0
39,14,43,0.7,153,0,0,1,0,0
37,12,194,0.2,211,1,1,1,1,1
56,26,81,4.5,0,0,0,0,1,0
40,16,49,1.8,0,0,0,0,1,0
32,8,8,0.7,0,1,0,1,0,0
61,37,131,2.9,0,0,0,1,0,0
30,6,72,0.1,207,0,0,0,0,0
50,26,190,2.1,240,0,0,1,0,1
29,5,44,0.2,0,0,0,1,0,0
41,17,139,8.0,0,0,0,1,0,0
55,30,29,0.1,0,1,1,1,0,0
56,31,131,1.2,0,0,0,0,0,1
28,2,93,0.2,0,0,0,0,0,0
31,5,188,4.5,455,0,0,0,0,0
49,24,39,1.7,0,1,0,1,0,0
47,21,125,5.7,112,1,0,0,0,0
42,18,22,1.0,0,0,0,0,0,0
42,17,32,0.0,0,0,0,1,0,0
47,23,105,3.3,0,0,0,0,0,0
59,35,131,3.8,0,0,0,1,1,0
62,36,105,2.8,336,0,0,0,0,0
53,23,45,2.0,132,1,0,0,0,0
47,21,60,2.1,0,0,0,1,1,0
53,29,20,0.2,0,0,0,1,0,0
42,18,115,3.5,0,0,0,0,1,0
53,29,69,1.0,0,0,0,1,0,0
44,20,130,5.0,0,0,0,0,1,0
41,16,85,4.0,0,0,0,1,1,0
28,3,135,3.3,0,0,0,0,1,0
31,7,135,3.8,0,0,1,1,1,1
58,32,12,0.3,0,0,0,0,0,0
46,20,29,0.5,0,0,0,0,0,0
54,30,133,2.6,0,0,0,0,0,1
50,26,19,0.4,118,0,0,1,0,0
60,36,41,1.3,174,0,0,1,1,0
47,22,40,2.7,0,0,0,1,0,0
41,16,82,4.0,0,0,0,1,0,0
33,9,50,2.4,0,0,0,0,0,0
46,22,18,0.9,0,0,0,1,0,0
27,2,109,1.8,0,0,0,0,0,0
40,16,42,2.2,126,0,0,0,0,0
48,22,78,1.1,0,0,0,1,0,0
65,41,51,1.1,0,0,0,1,0,0
25,-1,113,2.3,0,0,0,0,1,0
55,30,118,5.6,0,0,0,1,0,1
35,10,29,1.1,0,0,0,1,0,0
43,19,34,0.6,0,0,0,0,0,0
60,34,64,1.7,236,1,0,1,0,0
65,39,121,2.0,0,0,0,0,0,0
38,12,48,0.2,0,0,0,1,0,0
41,15,80,5.2,0,0,0,0,0,0
54,28,161,2.9,0,0,0,1,0,0
49,23,94,0.3,0,0,0,1,0,0
66,41,15,0.1,0,0,0,1,0,0
48,23,74,1.2,0,0,0,1,0,0
61,36,30,1.3,0,0,0,0,0,0
53,23,44,1.0,198,0,0,1,1,0
43,18,22,0.3,0,0,0,1,0,0
56,32,38,1.3,166,0,0,1,1,0
24,0,35,0.1,0,1,0,1,0,0
43,17,69,2.9,0,0,0,1,1,0
42,18,43,0.7,136,0,0,0,0,0
33,7,32,0.6,166,0,0,1,0,0
43,17,49,2.8,0,0,0,1,0,0
41,14,9,1.0,0,0,0,0,0,0
