뉴스 식별자,일자,언론사,정보원,인용문,키워드
1100101.202,20200227,경향신문,건국대 교수,"현재의 경제상황을 보면 100% 지출로 연결되지 않더라도 현금 지급을 확대할 필요가 있다
소비나 세금에 대한 환급 형태로 현금을 지급하되 소득과 부양가족 등에 비례해 지급하는 방법이 더 바람직하다고 본다",경제상황 지출 연결 현금 지급 확대 필요 소비 세금 환급 형태 현금 지급 소득 부양가족 비례 지급 방법 
1100101.202,20200227,경향신문,기획재정부 관계자,"홍콩과 같은 사례는 한국에 전례가 없다. 과거 희망근로사업에서도 현금이 아닌 상품권 등을 지원했다
현금은 보유하려는 성향이 있을 수 있지만 일정 유효기간을 둔 상품권은 소비로 이어진다",홍콩 사례 한국 전례 과거 희망 근로 사업 현금 상품권 지원 현금 보유 성향 일정 유효기간 상품권 소비 
1100101.202,20200227,경향신문,우석진 명지대 교수,학계 연구를 보면 소득이 일시적으로 올라가면 소비가 늘지 않는다. 특히 한국의 가계는 저축 성향이 강하다,소득 일시적 소비 한국 가계 저축 성향 
1100101.202,20200227,경향신문,윤형중 정책팀장,"정부의 코로나19 관련 추가경정예산안에 재난기본소득을 포함시키자
경기침체로 타격을 입은 자영업자와 개인사업자, 주로 실적으로 소득을 얻는 특수고용직군은 자신의 피해를 정확히 산정하기가 어렵다
기본소득은 지급 심사를 하지 않는다는 점에서 행정비용을 아낄뿐더러 심사를 받는 이가 차별과 불편을 느끼지도 않는다",정부 코로나19 추가경정예산안 재난기본소득 포함 경기침체 타격 자영업자 개인사업자 실적 소득 특수 고용 직군 자신 피해 산정 기본소득 지급 심사 행정 비용 심사 차별 불편 
1100101.202,20200229,경향신문,시대전환,"자영업자, 프리랜서, 플랫폼 노동자, 비정규직 노동자들에게 30만원의 긴급 재난기본소득을 지급해 코로나 공황에 대비할 것",자영업자 프리랜서 플랫폼 노동자 비정규직 노동자들 30만 긴급 재난기본소득 지급 코로나 공황 대비 
1100101.202,20200229,경향신문,이 대표,"재난기본소득 50만원을 지급해 달라
경계에 서 있는 소상공인, 프리랜서, 비정규직, 학생, 실업자 1000만명에게 마스크를 살 수 있는, 집세를 낼 수 있는, 아이들을 챙길 수 있는, 집에서 라면이라도 먹을 수 있는 소득이 필요하다
지금은 모두가 힘을 합해 위기를 극복해야할 때인데 경제부처가 아직 경계에 서 있는 많은 국민의 상황을 충분히 인지하고 있는 것 같지 않아 청와대에 청원을 올리게 됐다
국가가 감염을 막는 것도 중요하지만 국민의 안전과 생계를 지켜주는 것도 중요하다
사람들의 일자리의 위기, 소득의 위기, 생존의 위기
사람이 버텨야 기업이 버티고 경제가 버틴다
지금 시기에 재난기본소득을 받는 사람들은 그 돈을 받아서 저축하지 않는다
밥을 먹고, 일자리를 찾기 위해 출근하고, 마스크를 사고, 집세를 낸다. 버티기 위한 소비를 한다
그래도 형편이 나은 사람들만을 위한 대책
전에 금융위기 등 다른 요인으로 경제가 어렵고 소비가 줄어들었을때의 대책과 유사하다
원외 정당 뿐만 아니라 정의당, 민생당, 민주당 등 기성정당도 고민을 같이 해줬으면 좋겠다
젊은 미래세대가 위기상황 속에서도 버티고 꿈을 꿀 수 있도록 하는 최소한의 소득을 보장해줄 수 있는 방법을 마련하는 것은 모든 정당의 책무가 아닐까한다",재난기본소득 50만 지급 경계 소상공인 프리랜서 비정규직 학생 실업자 1000만 마스크 집세 아이들 라면 소득 필요 지금 위기 극복 경제부처 경계 국민 상황 충분히 인지 청와대 청원 국가 감염 중요 국민 안전 생계 중요 사람들 일자리 위기 소득 위기 생존 위기 사람 기업 버티고 경제 시기 재난기본소득 사람들 저축 일자리 출근 마스크 집세 소비 형편 사람들 대책 금융위기 요인 경제 소비 대책 유사 원외 정당 정의당 민생당 민주당 기성 정당 고민 미래세대 위기상황 버티고 최소한 소득 보장 방법 마련 정당 책무 
1100101.202,20200301,경향신문,이재웅 쏘카 대표,"재난기본소득 50만원을 지급해달라
저는 2018년 대한민국 정부의 기획재정부 민관합동혁신성장본부장을 역임한 26년차 기업가
경제부처가 아직 경계에 서 있는 많은 국민의 상황을 충분히 인지하고 있는 것 같지 않아 청와대에 청원을 올리게 됐다
가사도우미를 하던 사람들은 당장 수입이 없어져 생계를 걱정한다. 학교 등록금은 융자 받아서 냈는데 학교는 개학 안하고 아르바이트가 없어져서 밥을 굶는 대학생도 있다고 한다
항공사 승무원은 무급 휴직으로 이번 달을 수입 없이 집세 내면서 버텨야 하고, 여행업을 하던 사람들은 폐업이나 구조조정으로 일자리를 잃고 있다
‘재난기본소득’ 50만원을 지급해 달라
경계에 서 있는 소상공인, 프리랜서, 비정규직, 학생, 실업자 1000만명에게 마스크를 살 수 있는, 집세를 낼 수 있는, 아이들을 챙길 수 있는, 집에서 라면이라도 먹을 수 있는 소득이 필요하다
정부 대책은 그래도 형편이 나은 사람들만을 위한 대책
경계에 있는 더 많은 사람들, 버티기 힘들어하는 사람들의 소득을 지원해주는 정책이 필요하다
‘재난기본소득’ 50만원씩 1000만명에 주면 5조, 2000만명에 주면 10조원이다. 20조원의 추경을 준비한다면 가장 효과적으로 사용하는 10조원이 될 것",재난기본소득 50만 지급 2018년 대한민국 정부 기획재정부 합동 혁신 성장 본부장 역임 26년 기업가 경제부처 경계 국민 상황 충분히 인지 청와대 청원 가사도우미 사람들 당장 수입 생계 걱정 학교 등록금 융자 학교 개학 아르바이트 대학생 항공사 승무원 무급 휴직 수입 집세 여행업 사람들 폐업 구조 조정 일자리 재난기본소득 50만 지급 경계 소상공인 프리랜서 비정규직 학생 실업자 1000만 마스크 집세 아이들 라면 소득 필요 정부 대책 형편 사람들 대책 경계 사람들 사람들 소득 지원 정책 필요 재난기본소득 50만 1000만 5조 2000만 10조 20조 추경 준비 효과적 사용 10조 
1100101.202,20200302,경향신문,unknownactor,"한국에는 2주 공백만으로도 ‘흔들’거릴 사람이 너무나 많다. ‘한 달 벌어 한 달 먹고사는 사람’과 ‘하루 벌어 하루 먹고사는 사람’은 오십보백보가 아니다. 오십보만보다. 임금노동자가 아니라서 두렵다. 임금노동자라도 비정규직이어서 두렵다. 누구나 하루, 한 달, 일 년을 걱정하지만 그 빈도와 강도는 천차만별이다.
재난기본소득을 50만원씩 1000만명에 주면 5조, 2000만명에 주면 10조원이다. 20조원의 추경(추가경정예산)을 준비한다면 가장 효과적으로 사용하는 10조원이 될 것",한국 2주 공백 사람 사람 하루 하루 사람 오십보백보 오십보 임금 노동자 임금 노동자 비정규 하루 걱정 빈도 강도 천차만별 재난기본소득 50만 1000만 5조 2000만 10조 20조 추경 추가 경정 예산 준비 효과적 사용 10조 
1100101.202,20200302,경향신문,기본소득당,약 15조의 추경으로 온 국민에게 10일간의 휴식과 30만원의 일시적 기본소득을 지급하자,15조 추경 국민 10일 휴식 30만 일시적 기본소득 지급 
1100101.202,20200302,경향신문,청와대,"전 국민에게 보름치 긴급생활비 50만원 지급
전 국민에게 30만원씩 지급",국민 보름치 긴급생활비 50만 지급 국민 30만 지급 
