# A tibble: 42,789 x 8
       date    no word               n      tf   idf tf_idf Group 
      <dbl> <dbl> <chr>          <int>   <dbl> <dbl>  <dbl> <chr> 
 1 20200331   800 긴급재난지원금    25 0.0166   4.49 0.0746 second
 2 20200422  1676 지원              18 0.0219   3.52 0.0770 fourth
 3 20200430  2133 긴급재난지원금    16 0.0106   3.79 0.0403 fourth
 4 20200416  1367 가구              15 0.0558   3.29 0.184  fourth
 5 20200330   592 긴급재난지원금    14 0.00931  3.72 0.0346 second
 6 20200331   799 긴급재난지원금    14 0.00931  5.66 0.0527 second
 7 20200416  1369 지급              14 0.0118   3.29 0.0387 fourth
 8 20200426  2003 국민              14 0.0148   4.36 0.0643 fourth
 9 20200430  2133 신청              14 0.116    3.79 0.438  fourth
10 20200411  1253 정책              12 0.0347   4.08 0.142  third 
# ... with 42,779 more rows
# A tibble: 20 x 8
       date    no word               n      tf   idf tf_idf Group 
      <dbl> <dbl> <chr>          <int>   <dbl> <dbl>  <dbl> <chr> 
 1 20200331   800 긴급재난지원금    25 0.0166   4.49 0.0746 second
 2 20200422  1676 지원              18 0.0219   3.52 0.0770 fourth
 3 20200430  2133 긴급재난지원금    16 0.0106   3.79 0.0403 fourth
 4 20200416  1367 가구              15 0.0558   3.29 0.184  fourth
 5 20200330   592 긴급재난지원금    14 0.00931  3.72 0.0346 second
 6 20200331   799 긴급재난지원금    14 0.00931  5.66 0.0527 second
 7 20200416  1369 지급              14 0.0118   3.29 0.0387 fourth
 8 20200426  2003 국민              14 0.0148   4.36 0.0643 fourth
 9 20200430  2133 신청              14 0.116    3.79 0.438  fourth
10 20200411  1253 정책              12 0.0347   4.08 0.142  third 
11 20200408  1192 지급              11 0.00924  4.09 0.0378 third 
12 20200315   183 시민              10 0.0667   3.47 0.232  first 
13 20200330   592 가구              10 0.0372   3.72 0.138  second
14 20200331   800 시군              10 0.244    4.49 1.09   second
15 20200331   800 지급              10 0.00840  4.49 0.0377 second
16 20200416  1369 기준              10 0.0345   3.29 0.113  fourth
17 20200416  1370 지급              10 0.00840  3.58 0.0301 fourth
18 20200430  2137 가구              10 0.0372   4.14 0.154  fourth
19 20200318   241 지원               9 0.0109   3.86 0.0422 second
20 20200322   369 투자               9 0.161    4.24 0.682  second
# A tibble: 20 x 8
       date    no word               n      tf   idf tf_idf Group 
      <dbl> <dbl> <chr>          <int>   <dbl> <dbl>  <dbl> <chr> 
 1 20200331   800 긴급재난지원금    25 0.0166   4.49 0.0746 second
 2 20200422  1676 지원              18 0.0219   3.52 0.0770 fourth
 3 20200430  2133 긴급재난지원금    16 0.0106   3.79 0.0403 fourth
 4 20200416  1367 가구              15 0.0558   3.29 0.184  fourth
 5 20200330   592 긴급재난지원금    14 0.00931  3.72 0.0346 second
 6 20200331   799 긴급재난지원금    14 0.00931  5.66 0.0527 second
 7 20200416  1369 지급              14 0.0118   3.29 0.0387 fourth
 8 20200426  2003 국민              14 0.0148   4.36 0.0643 fourth
 9 20200430  2133 신청              14 0.116    3.79 0.438  fourth
10 20200411  1253 정책              12 0.0347   4.08 0.142  third 
11 20200408  1192 지급              11 0.00924  4.09 0.0378 third 
12 20200315   183 시민              10 0.0667   3.47 0.232  first 
13 20200330   592 가구              10 0.0372   3.72 0.138  second
14 20200331   800 시군              10 0.244    4.49 1.09   second
15 20200331   800 지급              10 0.00840  4.49 0.0377 second
16 20200416  1369 기준              10 0.0345   3.29 0.113  fourth
17 20200416  1370 지급              10 0.00840  3.58 0.0301 fourth
18 20200430  2137 가구              10 0.0372   4.14 0.154  fourth
19 20200318   241 지원               9 0.0109   3.86 0.0422 second
20 20200322   369 투자               9 0.161    4.24 0.682  second
# A tibble: 20 x 8
       date    no word               n      tf   idf tf_idf Group 
      <dbl> <dbl> <chr>          <int>   <dbl> <dbl>  <dbl> <chr> 
 1 20200331   800 긴급재난지원금    25 0.0166   4.49 0.0746 second
 2 20200422  1676 지원              18 0.0219   3.52 0.0770 fourth
 3 20200430  2133 긴급재난지원금    16 0.0106   3.79 0.0403 fourth
 4 20200416  1367 가구              15 0.0558   3.29 0.184  fourth
 5 20200330   592 긴급재난지원금    14 0.00931  3.72 0.0346 second
 6 20200331   799 긴급재난지원금    14 0.00931  5.66 0.0527 second
 7 20200416  1369 지급              14 0.0118   3.29 0.0387 fourth
 8 20200426  2003 국민              14 0.0148   4.36 0.0643 fourth
 9 20200430  2133 신청              14 0.116    3.79 0.438  fourth
10 20200411  1253 정책              12 0.0347   4.08 0.142  third 
11 20200408  1192 지급              11 0.00924  4.09 0.0378 third 
12 20200315   183 시민              10 0.0667   3.47 0.232  first 
13 20200330   592 가구              10 0.0372   3.72 0.138  second
14 20200331   800 시군              10 0.244    4.49 1.09   second
15 20200331   800 지급              10 0.00840  4.49 0.0377 second
16 20200416  1369 기준              10 0.0345   3.29 0.113  fourth
17 20200416  1370 지급              10 0.00840  3.58 0.0301 fourth
18 20200430  2137 가구              10 0.0372   4.14 0.154  fourth
19 20200318   241 지원               9 0.0109   3.86 0.0422 second
20 20200322   369 투자               9 0.161    4.24 0.682  second
