no,text
6,"취업내용이나 학생들의 참여가 너무 저조하다 생각됩니다
학교를 다니면서 학교에대한 소속감보다는
돈내고 다니는 학원같은 느낌이 너무 강합니다.."
7,"개신교 교양강의 교수들, 성소수자혐오, 여성혐오 그만. 임계치를 넘었다."
8,학생들의 편의시설을 많이 만들어주시고 졸업을 위한 여러가지 프로그램을 많이 개설해서 홍보도 해주세요
9,학생들의견수렴
10,"동아리방을 좀더 많이 개설해 주셨으면 좋겠습니다. 저는 현재 예수전도단에서 월요일마다 강의실에서 예배를 드리고 있는데, 너무 불편하기도 하고 예배를 드릴 수 있는 공간을 마련해 주셨으면 좋겠습니다. 그리고 주말에는 학교에 출입조차 못하게 하는것도 바꿔 주셨으면 좋겠습니다. 그리고 학교 출입통제 시간을 늘려주셨으면 좋겠습니다. 그리고 시험기간에는 학교 24시간 개방해주셨으면 좋겠습니다."
11,청문회를 통해서 학생들의 의견이 전달되면 어느정도는 반영이 되었으면 합니다.
12,학교홍보와 학교 이미지 개선을 위해 학생들의 의견을 귀담아주셨으면 좋겠습니다. (예를들어 교명변경같은...)
27,교양과목이 더욱 더 다양했으면 좋겠다(ex 꽂꽂이)
30,식당 학식비 좀 깎아주세요
31,케이씨대학교 화이팅
33,"등록금이 비싸고 학생들을 위해 쓰는거 같지도 않고 재정도 투명하지 않습니다
종개터에서 최근 프로그램을 많이 진행하는데 매학기 같은 프로그램말고 다른 프로그램을 진행 했으면 좋겠습니다. 지겨워요
장학금도 못받는 학생들 많이 줬으면 좋겠습니다"
35,X
36,조금더 성장하고발전하능kc대학교가되기를 정말로 바랍니다ㅠㅠ!!
37,학식 개선과 주말에 학교 개방 및 도서관 활성화
49,"제발좀 운동장 페인트좀 칠해주세요
그거칠하는데 돈얼마거 든다고 안칠하는겁니까?그리고 주차관리 직원 너무 불친절합니다.하루에한벌꼴로 소리지르고 싸웁니다."
58,.
59,학생들을 위해 투자를 했으면 좋겠다. 등록금에 비해 학생에게 해주는게 별로 없는 것 같다.  
60,"더욱 의사소통의 교양 강의 진행이 이루어졌으면 하고, 등록금 사용 내역을 학생들에게 투명하게 공개해주시길 바랍니다."
62,지도교수 면담 스케줄을 학기초에 말해줬으면 좋겠다. 학생들의 안전을 위해서  셔틀버스 시간을 야간시간도 운행했으면 좋겠다.
67,직원들이 일을 너무 안함. 일좀 하세요
68,"주차박스 관리 체계화, 축구부학생들의 학부행사 참여율과 수업 참여율을 높여주세요."
70,과학관에 와이파이를 설치해주세요.
76,등록금좀줄여주세요..
77,예배출결완화
82,없어요
87,이름부터바꿔
93,과학관 주차장 이용 ㅜ 
95,음악학과 과학관 연습실에 대한 시간이 너무 한정적인것같습니다 
103,말로만 발전한다 어쩐다 하지 마시고 실제로 행해주세요
107,학생들의 의견에 귀를 기울이고. 청렴한 기독교이념을 꼭 받드는 학교였음 좋겠네요
124,"와이파이 네트워크 좀 개선해주세요(LG 와이파이), 셔틀 차를 늘리던 버스업체를 큰걸 구해주세요. 
한국사 관련 교양이 더 많았으면 좋겠습니다. (전공도 좋고요.. 국사에 대해 너무 모르는 분들이 많다고 생각합니다)"
127,학생회비 이용내역 공개했으면 좋겠습니다
128,"학생들을 위하누학교를 만들어주세요. 어째서 학생들을 무시하면서 학교에 대해 자부심을 가지고, 학교의 발전이 있기를 바라는 것이죠??"
129,과학관 와이파이
133,교양필수없애주세요 예배횟수줄여주세요
150,"요즘 와이파이 상태가 이상할 때가 많아요
제발!! 본관 모든 강의실에 냉난방 시설이 제대로 갖추어져 있었으면 좋겠어요 완전 구식 기계 달아놓고 그걸 냉난방이라고...
그리고 제발 개명... 누가 물어보거나 어디다 적어야 할 때 진짜..."
151,학생들 말 좀 들어주세요 제발 학생 말 안들을거면 뭐하러 학생 받아요 받지말아요
159,이경아빼고 교양교수싹다바꿔라김태수같은놈이성한소리한다
160,좋아질 것이다
161,좋아질 것이다
163,학생들과 의사소통이 원활하게 이루어졌으면 좋겠다. 
165,학비가 너무 비싸요
170,"새 도서관 지어주세요 넓고 개방적인 열람실,독서시설이 필요해요"
171,대학 이름부터 바꾸세요....
172,창의관 냉난방시설 좀 신경써주세요 ...이제 수업은 다 끝나가지만 
175,학생의 의견을 잘들어주었으면 좋겠습니다.
176,창의관 냉난방시설 좀 신경써주세요 ...이제 수업은 다 끝나가지만 
180,학생들의 의견을 쫌 들어줬으면 좋겠습니다.
