번호,분류,언론사,본문
1,IT,전자신문,"노키아가 5G 단독모드(SA) 산업용 프라이빗 무선 네트워킹 솔루션을 출시했다. 4.9G/LTE?5G 프라이빗 무선 네트워킹 솔루션 포트폴리오를 제공할 수 있게 됐다.

노키아는 22일 엔터프라이즈 5G SA 무선 네트워킹 솔루션을 공개했다.

노키아의 5G SA 프라이빗 무선 솔루션은 제조공장 등 산업 현장의 프라이빗 5G의 기준을 제공하는 3GPP .."
2,경제,조선일보,"이재용 삼성전자 부회장과 정의선 현대차 수석부회장이 21일 현대 기아차 남양연구소에서 두 번째 회동을 가졌다. 지난 5월 정 부회장이 삼성SDI 천안사업장을 찾아 전고체(全固體) 배터리 등에 관해 논의했는데, 이번엔 이 부회장이 현대차그룹의 '기술 심장'을 방문한 것이다. 다른 대기업 총수가 남양연구소를 공식적으로 방문한 것은 이번이 처음이다. 
 
두.."
3,지역,충청투데이,"[충청투데이 조재광 기자] 충청북도충주교육지원청과 충주진로체험지원센터는 21일부터 오는 11월까지 충주 관내 중학교 19개 학교를 대상으로 2020. 직업멘토와의 만남 '생생직업토크'를 개최한다고 밝혔다. 

‘생생직업토크’는 변화하는 직업 세계에 대한 이해를 높이고 진로탐색 및 진로체험, 진로활동의 균형 있는 프로그램을 제공함으로써 청소년의 진로역량을.."
4,지역,중도일보,"충청북도충주교육지원청과 충주진로체험지원센터는 오는 21일부터 11월까지 충주 관내 중학교 19개 학교를 대상으로 '2020. 직업멘토와의 만남 '생생직업토크'를 개최한다고 밝혔다. '생생직업토크'는 변화하는 직업 세계에 대한 이해를 높이고 진로탐색 및 진로체험, 진로활동의 균형 있는 프로그램을 제공함으로써 청소년의 진로역량을 강화하기 위해 마련한 진로 .."
5,경제,부산일보,"이재용 삼성전자 부회장과 정의선 현대차그룹 수석부회장이 두 달 만에 다시 회동하면서 차세대 모빌리티 등 미래 신기술에서 두 그룹이 만들어 낼 시너지 효과에 대한 재계 안팎의 기대가 크다. 
 
 21일 삼성전자와 현대차 등에 따르면 이재용 부회장과 정의선 수석부회장, 양사 경영진은 경기도 화성 현대차 남양연구소에서 만나 차세대 친환경차와 도심항공모빌리티.."
6,지역,충청일보," 충북 충주교육지원청과 충주진로체험지원센터가 21일부터 19개 중학교를 대상으로 직업 멘토와의 만남 '생생직업토크'에 착수했다. 

 11월까지 계속되는 생생직업토크는 변화하는 직업에 대한 이해를 높이고 진로 탐색, 진로체험, 진로활동에 균형있는 프로그램을 제공해 진로 역량을 높이는 프로그램이다. 

 다양한 직업 멘토단과 만남을 통해 청소년들이 전문 .."
7,지역,중부매일,"- 
 
［중부매일 정구철 기자］ 충청북도충주교육지원청과 충주진로체험지원센터는 21일부터 11월까지 충주 관내 중학교 19개 학교를 대상으로 직업멘토와의 만남 '생생직업토크'를 개최한다. 

'생생직업토크'는 변화하는 직업 세계에 대한 이해를 높이고 진로탐색과 진로체험, 진로활동의 균형 있는 프로그램을 제공해 청소년의 진로역량을 강화하기 위해 마련한 진.."
8,IT,서울경제,근래에 급부상 중인 서비스로봇 산업계의 궁극적 지향점은 인간과 닮은 휴머노이드다. 생활공간이나 공공장소에서 이질감 없이 사람들과 마주치고 소통하려면 인간들의 눈에 익숙한 형상으로 제작하는 게 가장 효과적이기 때문이다. 그러나 휴머노이드의 길은 너무나 멀다. 인간 동작의 기본이 되는 직립보행을 견인장치와 같은 보조기구 없이 독립적으로 수행할 수 있는 로봇..
9,경제,서울경제,"지난 1999년 일본 전자기업 소니는 반려견 형태의 로봇을 출시했다. 제품명은 ‘아이보(AIBO)’. 마치 강아지처럼 사람이 쓰다듬으면 애교를 부리고, 주인의 부름을 알아듣고 반응하는 이 로봇의 초기 출시가격은 25만엔. 당시로서는 매우 고가였음에도 수요가 몰려 첫 달에 1만여대, 두 번째 달에는 2만여대의 판매 기록을 세웠다. 이후 누적 18만대 이상.."
10,국제,헤럴드경제,"윌리엄 바 미국 법무부 장관은 16일(현지시간) “중국 지도자의 궁극적인 야망은 미국과 무역을 하는 게 아니라 미국을 습격하는 것”이라고 주장했다. 월트디즈니 애플 등은 ‘중국의 노리개’라며, 과도하게 이용당하면 법적 책임을 져야 할 것이라고 시사했다. 많은 미국 기업이 단기 이익을 위해 중국의 요구에 순응하고 있다고 지적하면서다. 
 
 미 법무부 폭.."
11,IT,경기일보,"안양서중학교가 코로나19 장기화로 위축된 학생들의 동아리 활동을 지역 대학과 손잡고 특화된 프로그램으로 진행해 눈길을 끌고 있다. 

안영서중학교(교장 최흥재)는 7월8일 한양대학교 청소년과학기술진흥센터(센터장 최정훈)와 미래과학체험활동 업무협약(MOU)을 체결했다. 

이번 업무협약을 통해 안양서중은 한양대학교 청소년과학기술진흥센터에서 개발한 체험 중.."
12,사회,내일신문,"학생부종합전형(일반전형)으로 서울대 전기정보공학부에 합격한 조민규 학생(서초구 상문고 졸업)은, 특기자전형으로도 연세대 의예과와 고려대 전기전자공학부에 동시 합격했다. 로봇공학에 대한 관심에서 시작된 진로 설정은 대학에서 활동 영역을 더 넓혀 공부하고 싶다는 생각으로 서울대 전기정보공학부를 선택했다는 조민규 학생의 수시 합격 후일담을 들어봤다.?????.."
