"raw_timestamp_part_1","raw_timestamp_part_2","cvtd_timestamp","num_window","roll_belt","pitch_belt","yaw_belt","total_accel_belt","gyros_belt_x","gyros_belt_y","gyros_belt_z","accel_belt_x","accel_belt_y","accel_belt_z","magnet_belt_x","magnet_belt_y","magnet_belt_z","roll_arm","pitch_arm","yaw_arm","total_accel_arm","gyros_arm_x","gyros_arm_y","gyros_arm_z","accel_arm_x","accel_arm_y","accel_arm_z","magnet_arm_x","magnet_arm_y","magnet_arm_z","roll_dumbbell","pitch_dumbbell","yaw_dumbbell","total_accel_dumbbell","gyros_dumbbell_x","gyros_dumbbell_y","gyros_dumbbell_z","accel_dumbbell_x","accel_dumbbell_y","accel_dumbbell_z","magnet_dumbbell_x","magnet_dumbbell_y","magnet_dumbbell_z","roll_forearm","pitch_forearm","yaw_forearm","total_accel_forearm","gyros_forearm_x","gyros_forearm_y","gyros_forearm_z","accel_forearm_x","accel_forearm_y","accel_forearm_z","magnet_forearm_x","magnet_forearm_y","magnet_forearm_z","classe"
1323084306,724939,11,378,1.36,6.85,-92.8,3,0.02,-0.02,0,-15,5,22,0,613,-301,67.9,9.87,78.2,26,-2.31,0.82,-0.3,-214,140,-23,38,273,593,-67.86342436,-47.837328,67.86342436,2,0.18,0.14,-0.21,-11,-15,15,-584,226,20,-175,50.8,-159,26,0,-1.57,-0.39,-164,5,-194,-611,-44,448,"C"
1322837881,908290,7,715,117,14.1,-1.7,18,0.1,0.11,-0.18,-13,63,-159,29,599,-328,-83.4,-27.9,51.9,38,0.74,-0.79,0.77,110,-177,-312,482,-165,-425,-109.1664643,-45.97206522,12.54745105,9,0.03,0.26,-0.11,-39,-78,11,-466,395,20,25.2,8.53,-72.2,14,-0.72,1.53,-0.3,-78,108,35,-208,761,646,"C"
1322673093,878637,19,454,0.78,4.38,-87.9,5,-0.13,0,0.02,-15,0,45,49,634,-305,0,0,0,28,4.17,-2.38,0.28,-125,211,-116,622,160,299,92.24771687,-33.63847315,-53.01343716,29,0.93,-0.55,-0.16,-94,227,-144,-284,516,118,160,6.88,106,35,0.61,-1.54,0,145,281,-144,-129,746,789,"C"
1322832919,208709,4,587,155,-31.2,132,24,0.42,0.08,-0.59,54,43,-220,149,513,-479,-22.6,-17.7,-41.3,11,0.96,-0.58,0.54,-18,-86,64,441,103,520,71.38735502,-22.5764749,-80.65758071,18,0.16,-0.21,-0.21,-40,117,-129,-514,337,64,0,0,0,54,1.01,0.98,0.67,-210,484,0,-517,757,633,"E"
1322832786,456303,2,191,126,-44.2,169,18,0.02,0.13,-0.21,46,45,-160,199,588,-336,37.3,24.8,-155,26,0.19,-0.69,1.02,-246,-64,6,-171,259,634,41.9324708,-32.0046907,-103.0331162,17,0.11,0.11,-0.16,-51,66,-139,-580,233,59,0,0,0,42,1.25,0.55,0.38,-29,410,-58,-113,720,344,"A"
1322489687,238644,16,281,-20.1,2.08,-90.4,10,0.08,0.1,0.28,-23,-11,92,8,652,-243,82.8,-40.3,16.3,25,-2.23,0.16,-0.52,115,59,-206,730,-112,62,5.653088706,-43.75878888,-112.9064176,4,0.13,-0.06,-0.23,-15,2,-32,-505,166,248,175,12.7,-8.58,26,-0.75,2.47,0.46,178,-7,180,552,-542,34,"D"
1322673077,378634,19,441,1,4.5,-88.1,4,0.14,0,0,-18,4,37,48,632,-314,0,0,0,30,2.54,-1.28,-0.1,-170,228,-71,138,392,508,84.08642662,-28.48197626,-64.94236313,33,0.5,1.48,-0.46,-92,244,-198,-235,587,-56,124,10.5,131,43,1.14,-5.14,-1.49,164,374,-114,-591,689,921,"B"
1322837861,548352,6,696,116,16.5,-4.38,18,0.13,0.11,-0.15,-21,63,-159,16,603,-301,-40,33.1,-96.2,29,0.19,-0.55,0.77,-275,-70,-32,-293,275,617,89.79377243,42.63832691,48.50110435,14,-0.05,-0.53,-0.31,55,104,62,-146,608,-36,-49.6,-19,116,49,0.02,0,0.26,-277,-393,-48,43,-700,-166,"B"
1323084290,988289,10,364,1.28,5.41,-91.4,2,0,0.02,-0.03,-11,5,18,15,599,-304,76.9,16.2,108,30,-0.35,0.19,-0.36,-250,144,-30,-355,353,509,39.18617353,6.589417399,117.2829845,8,-0.02,0,0.02,5,29,70,-483,347,109,-165,49,-119,23,0.1,-3.13,-0.98,-128,-43,-184,-340,-409,235,"B"
1322837931,28365,7,142,119,18,-1.09,18,0.13,0.13,-0.15,-22,63,-163,10,595,-331,-39,-7.35,-56,16,-0.63,-0.31,0.9,-94,-54,107,351,150,555,71.87027696,84.41144043,-8.909198195,6,-0.03,0.31,0.36,42,37,-5,-306,543,-61,73.3,65.3,18.4,34,0.06,-0.43,-0.11,-305,136,14,-585,631,535,"D"
1322832943,568307,4,9,132,-52.2,167,22,1.01,-0.13,0.05,38,14,-209,397,486,-374,-33.9,-8.71,-64.3,15,3.45,-1.35,-0.28,-123,-7,76,281,324,493,41.4831129,-43.5249907,-94.80356732,16,-0.24,0.27,0.75,-68,65,-131,-581,188,78,0,0,0,32,1.14,0.16,0.75,-275,-150,-41,-88,-660,-75,"E"
1322832877,296290,3,553,127,-41.5,161,18,0.13,0.11,-0.15,52,43,-160,166,601,-320,-7.28,4.95,-48.5,16,2.17,-1.22,1.05,-141,-10,57,224,236,569,38.81161418,-28.12186004,-108.2299164,16,0.29,0.03,-0.18,-44,60,-140,-573,218,66,0,0,0,48,0.4,2.5,0.2,-225,409,6,-577,721,692,"C"
1322837962,868329,8,173,130,5.36,39.2,18,0.21,0.11,-0.16,-30,64,-164,106,592,-348,-58,16.3,-109,29,-1.51,-0.08,0.67,-274,-40,82,-337,224,618,-79.5,-66.6,-33.6,7,0.21,0.39,-0.23,-45,-52,-24,-438,432,17,51.3,28.2,-23.8,20,-0.43,0.37,-0.1,-87,179,25,-67,689,434,"E"
