tropical fruit,yogurt,coffee,
milk,,,
pip fruit,yogurt,cream cheese,Samgyeopsal
other vegetables,milk,condensed milk,bakery product
milk,butter,yogurt,rice
rolls/buns,,,
other vegetables,UHT-milk,rolls/buns,beer
potted plants,,,
milk,cereals,,
tropical fruit,other vegetables,white bread,kimchi
citrus fruit,tropical fruit,milk,butter
beef,,,
frankfurter,rolls/buns,soda,
chicken,tropical fruit,,
butter,sugar,fruit/vegetable juice,newspapers
fruit/vegetable juice,,,
packaged fruit/vegetables,,,
chocolate,,,
specialty bar,,,
other vegetables,,,
butter milk,pastry,,
milk,,,
tropical fruit,cream cheese,processed cheese,detergent
tropical fruit,root vegetables,other vegetables,frozen dessert
beer,soju,Samgyeopsal,
yogurt,,,
sausage,rolls/buns,soda,chocolate
other vegetables,,,
beer,soda,Samgyeopsal,soju
yogurt,beverages,kimchi,specialty bar
Samgyeopsal,other vegetables,rolls/buns,spices
root vegetables,other vegetables,milk,beverages
pork,berries,other vegetables,milk
beef,grapes,detergent,
pastry,soda,,
fruit/vegetable juice,,,
soju,beer,Samgyeopsal,
root vegetables,other vegetables,milk,dessert
citrus fruit,zwieback,newspapers,
beer,rolls/buns,Samgyeopsal,soju
tropical fruit,root vegetables,milk,yogurt
berries,yogurt,,
soju,beer,Samgyeopsal,
butter milk,yogurt,cream cheese,spread cheese
coffee,,,
pastry,kimchi,,
rolls/buns,,,
misc. beverages,,,
root vegetables,other vegetables,butter,curd
sausage,rolls/buns,cat food,newspapers
ham,grapes,other vegetables,milk
turkey,tropical fruit,other vegetables,curd
milk,yogurt,processed cheese,pickled vegetables
milk,curd,yogurt,pastry
beer,Samgyeopsal,soju,
rolls/buns,oil,kimchi,chewing gum
ham,beef,whipped/sour cream,ice cream
rolls/buns,pastry,sugar,
beer,Samgyeopsal,frozen vegetables,soju
sausage,pastry,,
sausage,beef,milk,
frankfurter,tropical fruit,rolls/buns,brown bread
rolls/buns,pastry,soda,
milk,,,
curd cheese,coffee,,
red/blush wine,newspapers,,
sausage,milk,curd,
tropical fruit,pip fruit,berries,milk
red/blush wine,,,
milk,butter,margarine,specialty fat
frankfurter,citrus fruit,milk,domestic eggs
beer,Samgyeopsal,soda,
frozen potato products,,,
other vegetables,milk,rolls/buns,sugar
citrus fruit,milk,curd,butter milk
flour,salt,kimchi,fruit/vegetable juice
sugar,kimchi,soda,beer
frozen meals,coffee,,
chocolate,,,
root vegetables,milk,frozen vegetables,domestic eggs
root vegetables,onions,hard cheese,frozen vegetables
herbs,condensed milk,frozen vegetables,salt
kimchi,,,
sausage,root vegetables,onions,yogurt
coffee,newspapers,,
pork,other vegetables,whipped/sour cream,
berries,yogurt,,
soda,,,
berries,,,
fruit/vegetable juice,salty snack,candles,
citrus fruit,butter milk,yogurt,cream cheese
pork,Samgyeopsal,beer,berries
detergent,,,
grapes,photo/film,,
sausage,sliced cheese,rolls/buns,brown bread
chicken,Samgyeopsal,beer,tropical fruit
milk,yogurt,brown bread,
citrus fruit,tropical fruit,,
soda,misc. beverages,,
sausage,pork,grapes,milk
frankfurter,rolls/buns,kimchi,
sausage,milk,yogurt,coffee
soda,,,
rolls/buns,fruit/vegetable juice,,
beef,citrus fruit,berries,root vegetables
milk,whipped/sour cream,rolls/buns,soda
processed cheese,,,
tropical fruit,pip fruit,,
frankfurter,sausage,root vegetables,other vegetables
packaged fruit/vegetables,kimchi,,
milk,dessert,frozen vegetables,rolls/buns
berries,whipped/sour cream,,
citrus fruit,berries,UHT-milk,processed cheese
tropical fruit,milk,yogurt,
Samgyeopsal,beer,frozen vegetables,rolls/buns
Samgyeopsal,beer,milk,frozen vegetables
milk,cream cheese,soda,
fish,other vegetables,pastry,margarine
frankfurter,sausage,bakery product,waffles
Samgyeopsal,beer,semi-finished bread,soju
pastry,soda,,
other vegetables,red/blush wine,,
misc. beverages,,,
frankfurter,sausage,citrus fruit,tropical fruit
sparkling wine,,,
specialty bar,,,
sausage,butter milk,rolls/buns,
curd cheese,,,
frankfurter,dessert,,
milk,yogurt,beverages,brown bread
newspapers,,,
berries,soda,,
curd,flour,liquor,
tropical fruit,other vegetables,coffee,
soda,,,
rolls/buns,Instant food products,,
soju,beer,Samgyeopsal,
frankfurter,sausage,milk,rolls/buns
Samgyeopsal,beer,soju,
milk,frozen vegetables,,
milk,,,
citrus fruit,butter,cream cheese,white bread
frankfurter,rolls/buns,,
frankfurter,ham,pip fruit,other vegetables
butter milk,yogurt,honey,soda
Samgyeopsal,beer,onions,rolls/buns
pasta,popcorn,,
other vegetables,beer,Samgyeopsal,cake bar
sausage,pork,citrus fruit,dessert
rolls/buns,,,
grapes,other vegetables,curd,dessert
root vegetables,other vegetables,milk,yogurt
beer,Samgyeopsal,,
popcorn,,,
milk,rolls/buns,sugar,kimchi
tropical fruit,other vegetables,packaged fruit/vegetables,milk
beef,herbs,flour,cling film/bags
milk,butter,dessert,rolls/buns
frankfurter,soda,chewing gum,
tropical fruit,specialty cheese,kimchi,
soju,beer,Samgyeopsal,
finished products,other vegetables,frozen vegetables,beer
beverages,soda,,
Samgyeopsal,beer,milk,
milk,pastry,bakery product,
finished products,beer,Samgyeopsal,
